  Freq(MHz)  	dB re. 1V/uPa	    V/Pa     	V^2cm^2/W    	  
   14.700	       -281.25	       8.662E-009	      1.125E-006
   14.750	       -281.36	       8.550E-009	      1.097E-006
   14.800	       -281.48	       8.434E-009	      1.067E-006
   14.850	       -281.52	       8.393E-009	      1.057E-006
   14.900	       -281.53	       8.387E-009	      1.055E-006
   14.950	       -281.59	       8.326E-009	      1.040E-006
   15.000	       -281.67	       8.248E-009	      1.020E-006
   15.050	       -281.71	       8.213E-009	      1.012E-006
   15.100	       -281.70	       8.222E-009	      1.014E-006
   15.150	       -281.71	       8.210E-009	      1.011E-006
   15.200	       -281.70	       8.224E-009	      1.015E-006
   15.250	       -281.65	       8.266E-009	      1.025E-006
   15.300	       -281.62	       8.302E-009	      1.034E-006
   15.350	       -281.57	       8.350E-009	      1.046E-006
   15.400	       -281.51	       8.403E-009	      1.059E-006
   15.450	       -281.47	       8.441E-009	      1.069E-006
   15.500	       -281.45	       8.460E-009	      1.073E-006
   15.550	       -281.41	       8.503E-009	      1.085E-006
   15.600	       -281.37	       8.545E-009	      1.095E-006
   15.650	       -281.39	       8.525E-009	      1.090E-006
   15.700	       -281.39	       8.521E-009	      1.089E-006
   15.750	       -281.33	       8.581E-009	      1.104E-006
   15.800	       -281.24	       8.671E-009	      1.128E-006
   15.850	       -281.21	       8.702E-009	      1.136E-006
   15.900	       -281.21	       8.698E-009	      1.135E-006
   15.950	       -281.20	       8.714E-009	      1.139E-006
   16.000	       -281.16	       8.746E-009	      1.147E-006
   16.050	       -281.15	       8.764E-009	      1.152E-006
   16.100	       -281.14	       8.771E-009	      1.154E-006
   16.150	       -281.10	       8.811E-009	      1.164E-006
   16.200	       -281.08	       8.834E-009	      1.171E-006
   16.250	       -281.09	       8.824E-009	      1.168E-006
   16.300	       -281.06	       8.855E-009	      1.176E-006
   16.350	       -281.02	       8.888E-009	      1.185E-006
   16.400	       -281.00	       8.907E-009	      1.190E-006
   16.450	       -280.93	       8.989E-009	      1.212E-006
   16.500	       -280.84	       9.080E-009	      1.237E-006
   16.550	       -280.80	       9.121E-009	      1.248E-006
   16.600	       -280.80	       9.122E-009	      1.248E-006
   16.650	       -280.80	       9.116E-009	      1.247E-006
   16.700	       -280.80	       9.123E-009	      1.248E-006
   16.750	       -280.79	       9.130E-009	      1.250E-006
   16.800	       -280.78	       9.145E-009	      1.255E-006
   16.850	       -280.75	       9.168E-009	      1.261E-006
   16.900	       -280.75	       9.168E-009	      1.261E-006
   16.950	       -280.75	       9.170E-009	      1.261E-006
   17.000	       -280.71	       9.217E-009	      1.274E-006
   17.050	       -280.64	       9.289E-009	      1.294E-006
   17.100	       -280.59	       9.348E-009	      1.311E-006
   17.150	       -280.57	       9.362E-009	      1.315E-006
   17.200	       -280.57	       9.361E-009	      1.314E-006
   17.250	       -280.57	       9.361E-009	      1.315E-006
   17.300	       -280.59	       9.344E-009	      1.310E-006
   17.350	       -280.60	       9.336E-009	      1.308E-006
   17.400	       -280.57	       9.360E-009	      1.314E-006
   17.450	       -280.55	       9.383E-009	      1.321E-006
   17.500	       -280.55	       9.386E-009	      1.322E-006
   17.550	       -280.56	       9.381E-009	      1.320E-006
   17.600	       -280.51	       9.427E-009	      1.333E-006
   17.650	       -280.44	       9.511E-009	      1.357E-006
   17.700	       -280.43	       9.513E-009	      1.358E-006
   17.750	       -280.47	       9.478E-009	      1.348E-006
   17.800	       -280.46	       9.479E-009	      1.348E-006
   17.850	       -280.47	       9.476E-009	      1.347E-006
   17.900	       -280.47	       9.477E-009	      1.347E-006
   17.950	       -280.42	       9.527E-009	      1.361E-006
   18.000	       -280.40	       9.555E-009	      1.369E-006
   18.050	       -280.43	       9.512E-009	      1.357E-006
   18.100	       -280.44	       9.504E-009	      1.355E-006
   18.150	       -280.40	       9.550E-009	      1.368E-006
   18.200	       -280.36	       9.590E-009	      1.379E-006
   18.250	       -280.35	       9.601E-009	      1.383E-006
   18.300	       -280.36	       9.595E-009	      1.381E-006
   18.350	       -280.34	       9.614E-009	      1.386E-006
   18.400	       -280.31	       9.652E-009	      1.397E-006
   18.450	       -280.29	       9.670E-009	      1.403E-006
   18.500	       -280.28	       9.687E-009	      1.408E-006
   18.550	       -280.25	       9.712E-009	      1.415E-006
   18.600	       -280.29	       9.670E-009	      1.403E-006
   18.650	       -280.37	       9.587E-009	      1.379E-006
   18.700	       -280.34	       9.612E-009	      1.386E-006
   18.750	       -280.28	       9.685E-009	      1.407E-006
   18.800	       -280.28	       9.687E-009	      1.407E-006
   18.850	       -280.28	       9.687E-009	      1.408E-006
   18.900	       -280.22	       9.751E-009	      1.426E-006
   18.950	       -280.16	       9.821E-009	      1.447E-006
   19.000	       -280.13	       9.852E-009	      1.456E-006
   19.050	       -280.16	       9.818E-009	      1.446E-006
   19.100	       -280.19	       9.783E-009	      1.436E-006
   19.150	       -280.18	       9.795E-009	      1.439E-006
   19.200	       -280.17	       9.801E-009	      1.441E-006
   19.250	       -280.21	       9.761E-009	      1.429E-006
   19.300	       -280.25	       9.713E-009	      1.415E-006
   19.350	       -280.28	       9.685E-009	      1.407E-006
   19.400	       -280.29	       9.676E-009	      1.404E-006
   19.450	       -280.30	       9.666E-009	      1.401E-006
   19.500	       -280.32	       9.635E-009	      1.392E-006
   19.550	       -280.36	       9.595E-009	      1.381E-006
   19.600	       -280.39	       9.562E-009	      1.372E-006
   19.650	       -280.42	       9.530E-009	      1.362E-006
   19.700	       -280.46	       9.488E-009	      1.350E-006
   19.750	       -280.51	       9.424E-009	      1.332E-006
   19.800	       -280.58	       9.355E-009	      1.313E-006
   19.850	       -280.62	       9.313E-009	      1.301E-006
   19.900	       -280.63	       9.300E-009	      1.297E-006
   19.950	       -280.64	       9.294E-009	      1.296E-006
   20.000	       -280.66	       9.272E-009	      1.290E-006




1


